Date,Fajr,Dhuhr,Asr,Maghrib,Isha
2022-02-19,4:45AM,11:47AM,3:03PM,5:29PM,6:59PM
2022-02-20,4:44AM,11:47AM,3:04PM,5:30PM,7:00PM
2022-02-21,4:43AM,11:47AM,3:05PM,5:33PM,7:03PM
2022-02-22,4:42AM,11:47AM,3:04PM,5:31PM,7:01PM
2022-02-24,04:44AM,11:47AM,03:05PM,05:35PM,07:05PM
2022-02-24,04:44AM,11:47AM,03:05PM,05:35PM,07:05PM
2022-02-25,04:43AM,11:47AM,03:06PM,05:36PM,07:06PM
2022-02-25,04:43AM,11:47AM,03:06PM,05:36PM,07:06PM
2022-02-26,04:42AM,11:47AM,03:06PM,05:36PM,07:06PM
2022-02-27,04:42AM,11:47AM,03:06PM,05:36PM,07:06PM
2022-02-27,04:42AM,11:47AM,03:06PM,05:36PM,07:06PM
